date,n
2021-06-12,42
2021-06-19,58
2021-06-26,46
2021-07-03,59
2021-07-10,81
2021-07-17,63
2021-07-24,52
2021-07-31,128
2021-08-07,34
2021-08-14,39
2021-08-21,43
2021-08-28,53
2021-09-04,69
2021-09-11,53
2021-09-18,59
2021-09-25,84
2021-10-02,93
2021-10-09,74
2021-10-16,89
2021-10-23,67
2021-10-30,64
2021-11-06,69
2021-11-13,51
2021-11-20,69
2021-11-27,68
2021-12-04,80
2021-12-11,76
2021-12-18,35
2021-12-25,24
2022-01-01,51
2022-01-08,73
2022-01-15,87
2022-01-22,60
2022-01-29,45
2022-02-05,58
2022-02-12,54
2022-02-19,58
2022-02-26,52
2022-03-05,43
2022-03-12,51
2022-03-19,47
2022-03-26,55
2022-04-02,70
2022-04-09,52
2022-04-16,121
2022-04-23,78
2022-04-30,54
2022-05-07,66
2022-05-14,65
2022-05-21,34
2022-05-28,52
2022-06-04,50
2022-06-11,41
2022-06-18,26
2022-06-25,64
2022-07-02,91
2022-07-09,70
2022-07-16,70
2022-07-23,73
2022-07-30,40
2022-08-06,53
2022-08-13,49
2022-08-20,44
2022-08-27,127
2022-09-03,28
2022-09-10,74
2022-09-17,75
2022-09-24,57
2022-10-01,49
2022-10-08,106
2022-10-15,72
2022-10-22,69
2022-10-29,41
2022-11-05,41
2022-11-12,45
2022-11-19,43
2022-11-26,42
2022-12-03,38
2022-12-10,63
2022-12-17,40
2022-12-24,26
2022-12-31,47
2023-01-07,92
2023-01-14,74
2023-01-21,37
2023-01-28,40
2023-02-04,49
2023-02-11,60
2023-02-18,50
2023-02-25,53
2023-03-04,51
2023-03-11,41
2023-03-18,57
2023-03-25,51
2023-04-01,53
2023-04-08,75
2023-04-15,59
2023-04-22,38
2023-04-29,35
2023-05-06,56
2023-05-13,48
2023-05-20,40
2023-05-27,46
2023-06-03,50
2023-06-10,43
2023-06-17,61
2023-06-24,77
2023-07-01,70
2023-07-08,65
2023-07-15,50
2023-07-22,48
2023-07-29,33
2023-08-05,45
2023-08-12,78
2023-08-19,52
2023-08-26,55
2023-09-02,48
2023-09-09,37
2023-09-16,40
2023-09-23,52
2023-09-30,56
2023-10-07,79
2023-10-14,55
2023-10-21,41
2023-10-28,28
2023-11-04,30
2023-11-11,40
2023-11-18,37
2023-11-25,68
2023-12-02,46
2023-12-09,46
2023-12-16,45
2023-12-23,8
2023-12-30,51
2024-01-06,58
2024-01-13,30
2024-01-20,36
2024-01-27,28
2024-02-03,53
2024-02-10,24
2024-02-17,35
2024-02-24,47
2024-03-02,33
2024-03-09,76
2024-03-16,56
2024-03-23,65
2024-03-30,59
2024-04-06,54
2024-04-13,56
2024-04-20,33
2024-04-27,36
2024-05-04,31
2024-05-11,63
2024-05-18,42
2024-05-25,23
2024-06-01,44
2024-06-08,64
2024-06-15,40
2024-06-22,38
2024-06-29,20
2024-07-06,28
2024-07-13,41
2024-07-20,39
2024-07-27,55
2024-08-03,34
2024-08-10,35
2024-08-17,54
2024-08-24,26
2024-08-31,38
2024-09-07,48
2024-09-14,62
2024-09-21,25
2024-09-28,20
2024-10-05,24
2024-10-12,43
2024-10-19,16
2024-10-26,25
2024-11-02,28
2024-11-09,71
2024-11-16,29
2024-11-23,23
2024-11-30,26
2024-12-07,31
2024-12-14,29
2024-12-21,4
2024-12-28,17
2025-01-04,28
2025-01-11,20
2025-01-18,21
2025-01-25,18
2025-02-01,24
2025-02-08,33
2025-02-15,27
2025-02-22,12
2025-03-01,16
2025-03-08,32
2025-03-15,26
2025-03-22,37
2025-03-29,38
2025-04-05,39
2025-04-12,23
2025-04-19,13
2025-04-26,32
2025-05-03,32
2025-05-10,36
2025-05-17,34
2025-05-24,39
2025-05-31,43
2025-06-07,91
2025-06-14,8
2025-06-21,48
2025-06-28,38
2025-07-05,41
2025-07-12,15
2025-07-13,18
2025-07-20,19
2025-07-27,12
2025-08-03,16
2025-08-09,1
2025-08-10,3
2025-08-11,1
2025-08-12,5
2025-08-13,1
2025-08-14,2
2025-08-15,7
2025-08-16,1
2025-08-17,0
2025-08-18,3
2025-08-19,2
2025-08-20,4
2025-08-21,2
2025-08-22,3
2025-08-23,1
2025-08-24,0
2025-08-25,5
2025-08-26,9
2025-08-27,3
2025-08-28,3
2025-08-29,1
2025-08-30,0
2025-08-31,0
2025-09-01,3
2025-09-02,8
2025-09-03,7
2025-09-04,6
2025-09-05,6
2025-09-06,0
2025-09-07,1
2025-09-08,6
2025-09-09,4
2025-09-10,3
2025-09-11,1
2025-09-12,2
2025-09-13,0
2025-09-14,3
2025-09-15,3
2025-09-16,6
2025-09-17,4
2025-09-18,5
2025-09-19,3
2025-09-20,0
2025-09-21,0
2025-09-22,3
2025-09-23,4
2025-09-24,4
2025-09-25,4
2025-09-26,4
2025-09-27,1
2025-09-28,0
2025-09-29,2
2025-09-30,8
2025-10-01,2
2025-10-02,1
2025-10-03,4
2025-10-04,0
2025-10-05,0
2025-10-06,6
2025-10-07,9
2025-10-08,7
2025-10-09,6
2025-10-10,3
2025-10-11,1
2025-10-12,4
2025-10-13,7
2025-10-14,7
2025-10-15,3
2025-10-16,4
2025-10-17,1
2025-10-18,0
2025-10-19,1
2025-10-20,3
2025-10-21,4
2025-10-22,9
2025-10-23,5
2025-10-24,5
2025-10-25,3
2025-10-26,0
2025-10-27,6
2025-10-28,10
2025-10-29,8
2025-10-30,2
2025-10-31,8
2025-11-01,0
2025-11-02,2
2025-11-03,2
2025-11-04,2
2025-11-05,2
2025-11-06,4
2025-11-07,1
2025-11-08,0
2025-11-09,2
2025-11-10,5
