date,open_issues,open_prs
2025-05-06,4185,349
2025-05-07,4185,349
2025-05-08,4187,351
2025-05-09,4190,352
2025-05-10,4191,353
2025-05-11,4193,354
2025-05-12,4195,355
2025-05-13,4198,355
2025-05-14,4200,356
2025-05-15,4202,357
2025-05-16,4205,358
2025-05-17,4208,358
2025-05-18,4210,359
2025-05-19,4213,359
2025-05-20,4216,358
2025-05-21,4218,358
2025-05-22,4221,357
2025-05-23,4224,357
2025-05-24,4226,356
2025-05-25,4228,356
2025-05-26,4228,355
2025-05-27,4229,353
2025-05-28,4229,352
2025-05-29,4230,351
2025-05-30,4230,350
2025-05-31,4236,348
2025-06-01,4242,347
2025-06-02,4242,347
2025-06-03,4242,347
2025-06-04,4242,347
2025-06-05,4242,347
2025-06-06,4242,347
2025-06-16,4196,345
2025-06-17,4187,345
2025-06-18,4189,347
2025-06-19,4188,347
2025-06-20,4189,347
2025-06-21,4183,345
2025-06-22,4181,345
2025-06-23,4173,344
2025-06-24,4170,345
2025-06-25,4169,344
2025-06-26,4157,341
2025-06-27,4159,341
2025-06-28,4163,342
2025-06-29,4162,343
2025-06-30,4161,344
